gene	log2(fold_change)	0
Lypla1	0.3191	0
Tcea1	0.166897	0
Atp6v1h	-0.177775	0
Oprk1	0	0
Rb1cc1	0.0545771	0
Fam150a	0	0
St18	-0.678076	0
Pcmtd1	-0.151923	0
Rrs1	0.2831	0
Adhfe1	1.66451	0
3110035E14Rik	-inf	0
1700034P13Rik	1.11993	0
Sgk3	0.0380121	0
Mcmdc2	-0.899675	0
Cspp1	0.17211	0
Prex2	0.20812	0
A830018L16Rik	0	0
Mir6341	0	0
Gm17644	0	0
Sulf1	0	0
Xkr9	0	0
Kcnb2	0	0
Terf1	0.552583	0
Rdh10	0.191381	0
D030040B21Rik	-inf	0
Tmem70	0.129289	0
Ly96	-1.1108	0
Gdap1	0.69908	0
Pi15	inf	0
Crispld1	-0.120117	0
Tfap2d	0	0
Tfap2b	0	0
4930486I03Rik	0	0
Mir206	0	0
Mir133b	0	0
Il17a	0	0
Paqr8	0.448501	0
Efhc1	-0.782477	0
Tmem14a	0.0933042	0
Gsta3	0.521145	0
Khdc1a	0	0
Khdc1c	0	0
Khdc1b	0	0
Mir30a	0	0
Mir30c-2	0	0
B3gat2	0.0262736	0
Col9a1	0	0
Lmbrd1	-0.480525	0
Mir6342	0	0
-	0.0358444	0
Lgsn	0	0
Pih1d3	0	0
Gm4850	0	0
Khdrbs2	0	0
1700001G17Rik	0.422351	0
Rab23	-0.107624	0
Dst	0.193419	0
Mir6896	0	0
Imp4	-0.00578054	0
Ptpn18	-0.16792	0
Prss39	inf	0
Cfc1	-0.251363	0
Amer3	inf	0
Arhgef4	-0.246819	0
Plekhb2	0.0273999	0
Hs6st1	-0.231286	0
Arid5a	-0.0122671	0
Fer1l5	-0.750122	0
Cnnm4	0.247827	0
Cnnm3	0.0963399	0
Cox5b	0.957653	0
4933424G06Rik	0	0
Zap70	0.712661	0
Cnga3	inf	0
Inpp4a	-0.370144	0
Unc50	-0.450359	0
Lipt1	0.0849399	0
Mrpl30	-0.0111486	0
Eif5b	-0.451611	0
Nms	0	0
Pdcl3	-0.0569459	0
Npas2	-0.757103	0
Rpl31	1.4808	0
Cnot11	0.268621	0
Map4k4	0.28499	0
Il1r2	0.582763	0
Il1r1	0.31926	0
Il1rl2	0.435973	0
Il1rl1	0.99067	0
Il18r1	0.433554	0
Il18rap	0.433692	0
Slc9a4	0	0
Slc9a2	0.946342	0
Tmem182	0	0
Pou3f3	0	0
2900092D14Rik	0	0
Mrps9	0.217075	0
Gpr45	-0.437351	0
AI597479	0.301081	0
Nck2	-0.0854939	0
1500015O10Rik	-inf	0
Tpp2	0.0877341	0
Bivm	0.127826	0
Ercc5	-0.389985	0
Gulp1	0.151885	0
Col3a1	-0.0929193	0
Wdr75	0.110885	0
Dnah7b	1.75274	0
Tmeff2	inf	0
Sdpr	1.51819	0
Stat4	0.215338	0
Stat1	0.31608	0
-	-0.566723	0
Tmem194b	0.361732	0
Hibch	-0.345895	0
Mstn	0	0
Ormdl1	0.0261388	0
Osgepl1	0.162961	0
Hecw2	inf	0
Mir7681	0	0
Ccdc150	-0.322409	0
Coq10b	-0.288426	0
Hspe1	0.231276	0
Mob4	0.0950077	0
Mars2	0.286614	0
Plcl1	0.564031	0
9130227L01Rik	0	0
9130024F11Rik	-0.247261	0
1700066M21Rik	0.123209	0
9430016H08Rik	0.222413	0
Spats2l	3.91878	0
Sgol2	0.850638	0
Aox1	-2.05002	0
Aox3	-inf	0
Aox4	-1.02882	0
Aox2	0.365944	0
Bzw1	0.282138	0
Nif3l1	-0.0507945	0
Ndufb3	8.14176e-05	0
Gm20257	-0.22306	0
Cflar	-0.145657	0
Casp8	0.197322	0
Stradb	-0.50174	0
Cdk15	0	0
Fzd7	0.25198	0
Gm973	0.181273	0
Nop58	0.110813	0
Snord70	0	0
Snord11	0	0
Bmpr2	0.144215	0
